Alias	AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	INSDC_last_update	Instrument	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	SRA_accession	Sample_Name	Title	environment_biome	geographic_location_country_and_or_sea	Assay_Type	BioProject	Broker_name	Center_Name	Consent	Description	ENA_checklist	INSDC_center_name	INSDC_first_public	INSDC_status	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	environment_feature	environment_material	geographic_location_latitude	geographic_location_longitude	host_associated_environmental_package	investigation_type	project_name	sequencing_method
207618001	302	SAMEA104467203	sra	ncbi		ERX2297478	2018-01-11T15:12:09Z	Illumina HiSeq 3000	207618001_2	26/07/2018	54943	21508	ERR2245455	ERS2085145	ERS2085145	SAMEA104467203 ERS2085145	NL-PooledPig-F1-S77	poultry	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
803017001	302	SAMEA104467439	sra	ncbi		ERX2294094	2018-01-11T15:12:14Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	25253	12015	ERR2241936	ERS2085381	ERS2085381	SAMEA104467439 ERS2085381	NL-PooledPig-F1-S313	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
710918001	302	SAMEA104467398	sra	ncbi		ERX2294053	2018-01-11T15:12:13Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	30714	12000	ERR2241895	ERS2085340	ERS2085340	SAMEA104467398 ERS2085340	NL-PooledPig-F1-S272	poultry	Poland	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
206818001	302	SAMEA104467195	sra	ncbi		ERX2293850	2018-01-11T15:12:09Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	23924	9428	ERR2241692	ERS2085137	ERS2085137	SAMEA104467195 ERS2085137	NL-PooledPig-F1-S69	poultry	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
103717001	302	SAMEA104467161	sra	ncbi		ERX2293816	2018-01-11T15:12:08Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	18532	9082	ERR2241658	ERS2085103	ERS2085103	SAMEA104467161 ERS2085103	NL-PooledPig-F1-S35	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
201417001	302	SAMEA104467182	sra	ncbi		ERX2293837	2018-01-11T15:12:09Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	21754	8712	ERR2241679	ERS2085124	ERS2085124	SAMEA104467182 ERS2085124	NL-PooledPig-F1-S56	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
200917001	302	SAMEA104467177	sra	ncbi		ERX2293832	2018-01-11T15:12:09Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	21498	8482	ERR2241674	ERS2085119	ERS2085119	SAMEA104467177 ERS2085119	NL-PooledPig-F1-S51	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
801417001	200	SAMEA104467423	sra	ncbi		ERX2294078	2018-01-11T15:12:14Z	Illumina HiSeq 2500	Nextera TX	26/07/2018	12192	8363	ERR2241920	ERS2085365	ERS2085365	SAMEA104467423 ERS2085365	NL-PooledPig-F1-S297	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
104117001	302	SAMEA104467164	sra	ncbi		ERX2293819	2018-01-11T15:12:09Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	21057	8318	ERR2241661	ERS2085106	ERS2085106	SAMEA104467164 ERS2085106	NL-PooledPig-F1-S38	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
101917001	302	SAMEA104467143	sra	ncbi		ERX2293798	2018-01-11T15:12:08Z	Illumina HiSeq 3000	101917001	25/07/2018	16398	8226	ERR2241640	ERS2085085	ERS2085085	SAMEA104467143 ERS2085085	NL-PooledPig-F1-S17	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
